Wall time,Step,Value
1703663990.6696854,5,0.6228710412979126
1703663993.8037755,10,0.6447688341140747
1703663996.8808534,15,0.6934306621551514
1703663999.971747,20,0.7031630277633667
1703664003.0542662,25,0.7031630277633667
1703664006.0958118,30,0.7591241002082825
1703664009.1810296,35,0.7445255517959595
1703664012.3007069,40,0.7469586133956909
1703664015.4220886,45,0.7834550142288208
1703664018.568714,50,0.7712895274162292
1703664022.0717528,55,0.7737226486206055
1703664025.7509198,60,0.7785888314247131
1703664029.7587798,65,0.7785888314247131
1703664032.953464,70,0.7761557102203369
1703664036.02837,75,0.7761557102203369
1703664039.7879746,80,0.7731873202323914
1703664043.2623177,85,0.7737226486206055
1703664046.3617942,90,0.7785888314247131
1703664049.447825,95,0.7737226486206055
1703664052.5256634,100,0.7858880758285522
1703664056.5361645,105,0.7931873202323914
1703664060.9357195,110,0.7785888314247131
1703664064.086299,115,0.798053503036499
1703664067.270675,120,0.7761557102203369
1703664070.4376214,125,0.7834550142288208
1703664074.88447,130,0.7810218930244446
1703664077.9950728,135,0.8004866242408752
1703664081.1042573,140,0.8029196858406067
1703664085.8275936,145,0.8175182342529297
1703664089.9558387,150,0.8029196858406067
1703664093.788402,155,0.7931873202323914
1703664097.6954708,160,0.8150851726531982
1703664101.5267773,165,0.8175182342529297
1703664104.8156075,170,0.812652051448822
1703664108.1841488,175,0.8199513554573059
1703664111.9770727,180,0.8175182342529297
1703664115.6520526,185,0.7907542586326599
1703664119.5692258,190,0.8175182342529297
1703664123.4250338,195,0.8223844170570374
1703664126.870684,200,0.8248175382614136
